Designator,Mid X,Mid Y,Layer,Rotation
C1,50.8,39.37,TOP,270
C2,53.98,39.37,TOP,270
C3,60.33,43.18,TOP,90
C4,57.15,43.18,TOP,90
C5,72.77,82.55,TOP,0
C6,72.77,85.73,TOP,0
C7,74.93,72.39,TOP,180
COOL,59.05,51.31,TOP,180
COOL_RELAY,22.86,47.19,TOP,180
D1,77.47,85.09,TOP,270
D3,36.2,64.14,TOP,90
D4,36.2,47.63,TOP,90
F1,18.41,75.56,TOP,180
F2,18.41,82.55,TOP,0
HEAT,59.05,63.5,TOP,180
HEAT_RELAY,22.86,64.34,TOP,180
OW_VSEL,62.23,68.58,TOP,90
PS1,46.93,82.18,TOP,0
PWR,77.47,78.74,TOP,180
Q1,39.37,67.31,TOP,90
Q2,39.37,52.07,TOP,90
R1,72.77,78.74,TOP,0
R2,17.14,93.34,TOP,90
R3,62.87,59.96,TOP,90
R4,42.55,67.31,TOP,90
R5,42.55,52.07,TOP,90
U$7,41.25,35.53,TOP,180
U1,50.8,62.74,TOP,180
U2,50.8,50.04,TOP,180
X1,5.69,84.45,TOP,270
X2,5.69,67.31,TOP,270
X3,5.69,50.16,TOP,270
X4,69.29,59.69,TOP,90
U$8,41.25,12.7,TOP,180